id,name,lastname,price,flycode,typePassenger,statusFlight
1,Lou,Gonzalez,10000,BA2491A,Aterrizado,FirstClass
2,Ulrike,Munoz,25000,IB0800A,Aterrizado,FirstClass
3,Brade,Rojas,20000,MM0987B,En Horario,FirstClass
4,Kimbell,Diaz,50000,BA2491A,Aterrizado,FirstClass
5,Sheelagh,Perez,18000,IB0800A,Aterrizado,FirstClass
6,Gayle,Soto,30000,MM0987B,En Horario,FirstClass
7,Kimberlee,Contreras,33000,BA2491A,Aterrizado,FirstClass
8,Henrieta,Silva,30000,IB0800A,Aterrizado,FirstClass
9,Jeanine,Martinez,18000,MM0987B,En Horario,FirstClass
10,Aggie,Sepulveda,15000,BA2491A,Aterrizado,FirstClass
11,Brandea,Morales,15000,IB0800A,Aterrizado,FirstClass
12,Cordelie,Rodriguez,50000,IB0800A,Aterrizado,FirstClass
13,Shel,Lopez,50000,MM0987B,En Horario,FirstClass
14,Bronnie,Fuentes,20000,MM0987B,En Horario,FirstClass
15,Megen,Hernandez,10000,BA2491A,Aterrizado,FirstClass
16,Iver,Torres,12000,BA2491A,Aterrizado,FirstClass
17,Ernesta,Araya,37000,BA2491A,Aterrizado,FirstClass
18,Cirillo,Flores,50000,MM0987B,En Horario,FirstClass
19,Park,Espinoza,30000,MM0987B,En Horario,FirstClass
20,Bellanca,Valenzuela,15000,BA2491A,Aterrizado,FirstClass
21,Bobbye,Castillo,15000,BA2491A,Aterrizado,FirstClass
22,Eugene,Tapia,50000,BA2491A,Aterrizado,FirstClass
23,Johnny,Reyes,33000,MM0987B,En Horario,FirstClass
24,Reagen,Gutierrez,42000,MM0987B,En Horario,FirstClass
25,Braden,Castro,25000,MM0987B,En Horario,FirstClass
26,Karim,Pizarro,25000,MM0987B,En Horario,FirstClass
27,Anthea,Alvarez,42000,MM0987B,En Horario,FirstClass
28,Doro,Vasquez,33000,IB0800A,Aterrizado,FirstClass
29,Gaye,Sanchez,37000,IB0800A,Aterrizado,FirstClass
30,Toby,Fernandez,15000,IB0800A,Aterrizado,FirstClass
31,Franny,Ramirez,15000,IB0800A,Aterrizado,FirstClass
32,Katey,Carrasco,42000,MM0987B,En Horario,FirstClass
33,Earle,Gomez,10000,BA2491A,Aterrizado,FirstClass
34,Redd,Cortes,42000,BA2491A,Aterrizado,FirstClass
35,Jehanna,Herrera,50000,BA2491A,Aterrizado,FirstClass
36,Cristie,Nunez,10000,BA2491A,Aterrizado,FirstClass
37,Stefa,Jara,42000,BA2491A,Aterrizado,FirstClass
38,Roda,Vergara,25000,MM0987B,En Horario,FirstClass
39,Alfredo,Rivera,10000,MM0987B,En Horario,FirstClass
40,Sydney,Figueroa,10000,MM0987B,En Horario,FirstClass
41,Brnaba,Riquelme,30000,MM0987B,En Horario,FirstClass
42,Ame,Garcia,50000,BA2491A,Aterrizado,ExecutiveClass
43,Bradney,Miranda,25000,BA2491A,Aterrizado,ExecutiveClass
44,Margarete,Bravo,50000,BA2491A,Aterrizado,ExecutiveClass
45,Nikoletta,Vera,50000,MM0987B,En Horario,FirstClass
46,Lonnard,Molina,50000,IB0800A,Aterrizado,FirstClass
47,Raine,Vega,30000,IB0800A,Aterrizado,FirstClass
48,Noella,Campos,15000,IB0800A,Aterrizado,FirstClass
49,Dagmar,Sandoval,25000,IB0800A,Aterrizado,FirstClass
50,Carroll,Orellana,42000,IB0800A,Aterrizado,FirstClass
51,Marion,Cardenas,50000,IB0800A,Aterrizado,FirstClass
52,Carline,Olivares,12000,IB0800A,Aterrizado,FirstClass
53,Hyacinthie,Alarcon,15000,MM0987B,En Horario,FirstClass
54,Julina,Gallardo,33000,MM0987B,En Horario,FirstClass
55,Corina,Ortiz,37000,MM0987B,En Horario,FirstClass
56,Bernardine,Garrido,33000,MM0987B,En Horario,FirstClass
57,Homer,Salazar,18000,MM0987B,En Horario,FirstClass
58,Lianna,Guzman,12000,MM0987B,En Horario,FirstClass
59,Celene,Henriquez,50000,MM0987B,En Horario,FirstClass
60,Kori,Saavedra,50000,MM0987B,En Horario,FirstClass
61,Deeyn,Navarro,20000,MM0987B,En Horario,FirstClass
62,Marysa,Aguilera,20000,MM0987B,En Horario,FirstClass
63,Loy,Parra,15000,MM0987B,En Horario,FirstClass
64,Gabbey,Romero,37000,MM0987B,En Horario,FirstClass
65,Star,Aravena,33000,MM0987B,En Horario,FirstClass
66,Dominica,Vargas,33000,IB0800A,Aterrizado,FirstClass
67,Blanch,Vazquez,15000,IB0800A,Aterrizado,FirstClass
68,Cristobal,Caceres,15000,IB0800A,Aterrizado,FirstClass
69,Paulita,Yanez,50000,IB0800A,Aterrizado,FirstClass
70,Sayre,Leiva,33000,IB0800A,Aterrizado,FirstClass
71,Shaughn,Escobar,15000,IB0800A,Aterrizado,FirstClass
72,Katrine,Ruiz,25000,IB0800A,Aterrizado,FirstClass
73,Cristi,Valdes,42000,IB0800A,Aterrizado,FirstClass
74,Cristie,Vidal,25000,IB0800A,Aterrizado,ExecutiveClass
75,Solomon,Salinas,10000,IB0800A,Aterrizado,ExecutiveClass
76,Nananne,Zuniga,33000,IB0800A,Aterrizado,ExecutiveClass
77,Sacha,Pena,25000,IB0800A,Aterrizado,ExecutiveClass
78,Morse,Godoy,25000,IB0800A,Aterrizado,ExecutiveClass
79,Roland,Lagos,25000,IB0800A,Aterrizado,ExecutiveClass
80,Jesselyn,Maldonado,30000,IB0800A,Aterrizado,ExecutiveClass
81,Kylila,Bustos,12000,IB0800A,Aterrizado,ExecutiveClass
82,Kendre,Medina,25000,IB0800A,Aterrizado,ExecutiveClass
83,Lesya,Pino,15000,IB0800A,Aterrizado,ExecutiveClass
84,Tatiania,Palma,20000,IB0800A,Aterrizado,ExecutiveClass
85,Trenton,Moreno,12000,IB0800A,Aterrizado,ExecutiveClass
86,Angie,Sanhueza,20000,MM0987B,En Horario,FirstClass
87,Joelle,Carvajal,37000,MM0987B,En Horario,FirstClass
88,George,Navarrete,30000,MM0987B,En Horario,ExecutiveClass
89,Guenevere,Saez,30000,MM0987B,En Horario,ExecutiveClass
90,Margaretha,Alvarado,10000,MM0987B,En Horario,ExecutiveClass
91,Sully,Donoso,15000,MM0987B,En Horario,ExecutiveClass
92,Lonni,Poblete,50000,MM0987B,En Horario,ExecutiveClass
93,Nicky,Bustamante,42000,MM0987B,En Horario,ExecutiveClass
94,,Toro,18000,MM0987B,En Horario,ExecutiveClass
95,Kyrstin,Ortega,37000,IB0800A,Aterrizado,ExecutiveClass
96,Martino,Venegas,15000,IB0800A,Aterrizado,ExecutiveClass
97,Marcellus,Guerrero,50000,IB0800A,Aterrizado,ExecutiveClass
98,Jacquelin,Mendoza,30000,IB0800A,Aterrizado,ExecutiveClass
99,Aleda,Farias,50000,IB0800A,Aterrizado,ExecutiveClass
100,Georgeta,San Martin,10000,IB0800A,Aterrizado,ExecutiveClass
101,Marcille,Gonzalez,10000,IB0800A,Aterrizado,ExecutiveClass
102,Ertha,Fernandez,10000,IB0800A,Aterrizado,ExecutiveClass
103,Desiri,Rodriguez,25000,MM0987B,En Horario,ExecutiveClass
104,Geneva,Lopez,33000,MM0987B,En Horario,ExecutiveClass
105,Kilian,Martinez,42000,MM0987B,En Horario,ExecutiveClass
106,Nance,Sanchez,10000,MM0987B,En Horario,ExecutiveClass
107,Gaven,Perez,10000,MM0987B,En Horario,ExecutiveClass
108,Carlie,Gomez,10000,MM0987B,En Horario,ExecutiveClass
109,Trixie,Martin,42000,IB0800A,Aterrizado,ExecutiveClass
110,Dominick,Jimenez,30000,IB0800A,Aterrizado,ExecutiveClass
111,Petey,Ruiz,15000,IB0800A,Aterrizado,ExecutiveClass
112,Tersina,Hernandez,30000,IB0800A,Aterrizado,ExecutiveClass
113,Johnathon,Diaz,15000,IB0800A,Aterrizado,ExecutiveClass
114,Freddie,Moreno,12000,IB0800A,Aterrizado,ExecutiveClass
115,Harmon,Alvarez,50000,IB0800A,Aterrizado,ExecutiveClass
116,Tracey,Munoz,20000,IB0800A,Aterrizado,ExecutiveClass
117,Cherrita,Romero,33000,MM0987B,En Horario,ExecutiveClass
118,Stu,Alonso,12000,MM0987B,En Horario,ExecutiveClass
